what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1344500287570
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1344500287571
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1344500287572
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1344500287573
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1344500287574
os,sysinfo,,,"win32",1344500287583
arch,sysinfo,,,"x86",1344500287583
ws,sysinfo,,,"win32",1344500287584
locale,sysinfo,,,"en_US",1344500287584
processors,sysinfo,,,"4",1344500287584
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1344500287584
java.runtime.version,sysinfo,,,"1.6.0_33-b03",1344500287584
java.specification.name,sysinfo,,,"Java Platform API Specification",1344500287584
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344500287584
java.specification.version,sysinfo,,,"1.6",1344500287584
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1344500287584
java.version,sysinfo,,,"1.6.0_33",1344500287584
java.vm.info,sysinfo,,,"mixed mode, sharing",1344500287584
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1344500287584
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1344500287584
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344500287584
java.vm.specification.version,sysinfo,,,"1.0",1344500287584
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1344500287584
java.vm.version,sysinfo,,,"20.8-b03",1344500287584
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1344500288133
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1344500288135
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1344500288296
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1344500288360
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1344500288585
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1344500288661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344500289320
started,bundle,amazon.devtools.brazil.eclipse.BrazilEclipsePlugin,1001.254.0,"amazon.devtools.brazil.eclipse.BrazilEclipsePlugin",1344500293762
started,bundle,amazon.ht2.trails.eclipse.plugin.HappyTrailsEclipsePlugin,2004.36.19,"amazon.ht2.trails.eclipse.plugin.HappyTrailsEclipsePlugin",1344500297401
